City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,khandyga,62.6667,135.6,271.61,96,90,0.3,RU,1683044975
259,san patricio,28.017,-97.5169,299.35,66,100,7.12,US,1683044976
260,cerkezkoy,41.285,28.0003,289.25,41,0,7.72,TR,1683044976
261,el porvenir,13.7617,-87.3458,302.78,40,68,2.01,HN,1683044976
262,touros,-5.1989,-35.4608,302.97,61,20,5.18,BR,1683044977
263,al burayqah,30.4062,19.5739,293.16,74,99,8.94,LY,1683044977
264,murbad,19.25,73.4,301.78,54,6,2.18,IN,1683044977
265,nabire,-3.3667,135.4833,297.12,95,100,1.47,ID,1683044977
266,kedougou,12.5579,-12.1743,313.95,19,64,1.41,SN,1683044978
267,namibe,-15.1961,12.1522,297.83,77,3,5.21,AO,1683044978
268,jaisalmer,26.9147,70.9181,301.6,45,43,5.22,IN,1683044978
269,hermanus,-34.4187,19.2345,289.71,84,56,1.86,ZA,1683044979
270,ola,59.5833,151.2833,269.9,85,66,2.03,RU,1683044979
271,monmouth,40.3001,-74.1663,286.2,60,100,5.66,US,1683044725
272,xihe,31.6864,113.4659,294.35,82,100,4.2,CN,1683044980
273,mercedes,-34.6515,-59.4307,293.68,25,0,3.58,AR,1683044980
274,lerwick,60.1545,-1.1494,280.15,61,98,4.98,GB,1683044980
275,ribeira grande,38.5167,-28.7,289.14,77,40,8.23,PT,1683044980
276,kristiansund,63.1115,7.732,281.18,81,75,7.2,NO,1683044981
277,pindiga,9.9833,10.9333,302.76,21,37,5.12,NG,1683044981
278,port alfred,-33.5906,26.891,290.47,89,100,0.89,ZA,1683044981
279,skiathos,39.1623,23.4909,290.24,72,40,3.09,GR,1683044982
280,keflavik,64.0049,-22.5624,280.1,81,100,5.66,IS,1683044982
281,tazacorte,28.629,-17.9293,297.69,69,0,2.06,ES,1683044982
282,kaohsiung,22.6163,120.3133,299.84,77,40,2.57,TW,1683044687
283,nova xavantina,-14.6667,-52.35,304.02,44,0,1.73,BR,1683044983
284,mansa,29.9833,75.3833,297.04,64,100,3.67,IN,1683044983
285,bikenibeu village,1.3673,173.1241,301.13,83,75,0.0,KI,1683044983
